"id","date","wanPerson","shiWanPerson","baiWanPerson","qianWanPerson","wdzjPlatId"
"6759","2016-06-30","319811.00","56902.00","3.00","0.00","59"
"6760","2016-07-31","405142.00","63125.00","2.00","0.00","59"
"6761","2016-08-31","525085.00","75610.00","3.00","0.00","59"
"6762","2016-09-30","601084.00","79912.00","11.00","0.00","59"
"6763","2016-10-31","724437.00","72763.00","3.00","0.00","59"
"6764","2016-11-30","828369.00","99259.00","17.00","0.00","59"
"6765","2016-12-31","1021996.00","146683.00","33.00","0.00","59"
"6766","2017-01-31","1171381.00","158460.00","27.00","0.00","59"
"6767","2017-02-28","1210094.00","139086.00","16.00","0.00","59"
"6768","2017-03-31","651968.00","91982.00","3.00","0.00","59"
"6769","2017-04-30","70417.00","29121.00","0.00","0.00","59"
"6770","2017-05-31","90806.00","43253.00","0.00","0.00","59"
"6771","2016-06-30","3149.00","4686.00","1615.00","71.00","60"
"6772","2016-07-31","3005.00","4863.00","1813.00","70.00","60"
"6773","2016-08-31","6132.00","5053.00","1855.00","70.00","60"
"6774","2016-09-30","6633.00","5045.00","1809.00","73.00","60"
"6775","2016-10-31","6213.00","4891.00","1635.00","57.00","60"
"6776","2016-11-30","15714.00","5001.00","1791.00","65.00","60"
"6777","2016-12-31","13367.00","4802.00","1833.00","82.00","60"
"6778","2017-01-31","6822.00","4749.00","1918.00","78.00","60"
"6779","2017-02-28","9652.00","4982.00","1926.00","63.00","60"
"6780","2017-03-31","15605.00","8425.00","2275.00","49.00","60"
"6781","2017-04-30","7921.00","5542.00","1994.00","53.00","60"
"6782","2017-05-31","7611.00","5599.00","2080.00","51.00","60"
"6783","2016-06-30","3453.00","1412.00","542.00","19.00","1309"
"6784","2016-07-31","4111.00","1754.00","587.00","15.00","1309"
"6785","2016-08-31","16677.00","2444.00","479.00","13.00","1309"
"6786","2016-09-30","37538.00","2179.00","388.00","18.00","1309"
"6787","2016-10-31","70936.00","1664.00","424.00","16.00","1309"
"6788","2016-11-30","42903.00","3317.00","586.00","10.00","1309"
"6789","2016-12-31","54632.00","3166.00","612.00","33.00","1309"
"6790","2017-01-31","131008.00","2824.00","539.00","26.00","1309"
"6791","2017-02-28","162793.00","2043.00","320.00","9.00","1309"
"6792","2017-03-31","331578.00","6552.00","496.00","16.00","1309"
"6793","2017-04-30","360547.00","6227.00","510.00","19.00","1309"
