"id","amount","avgBidMoney","avgBorrowMoney","background","bidderNum","borrowerNum","currentLeverageAmount","dataStatus","developZhishu","incomeRate","loanPeriod","netInflowOfThirty","newbackground","onlineTime","platId","platName","regCapital","status","stayStillOfNextSixty","stayStillOfTotal","timeOperation","top10DueInProportion","top10StayStillProportion","totalLoanNum","wdzjPlatId","weightedAmout","month"
"1","6026637.62","25.45","4.53","","236780","1329868","134.40","1","2.0","7.06","19.79","9345.89","银行系","2017-07-01","lufax","陆金服","10000","0","1030515.49","11244611.47","59","5.69","0.02","1909383","59","","2017-01"
"2","880712.18","9.43","64.92","","93377","13567","263.33","0","59.0","8.91","2.06","6092.62","民营系","2017-07-01","my089","红岭创投","6000","0","778284.97","1579972.76","93","1.60","12.42","287155","60","","2017-01"
"3","637395.29","5.45","7.83","","116918","81368","109.86","0","5.0","9.60","2.93","-4683.73","上市系","2017-07-01","wd5","微贷网","12195","0","409755.05","1339691.17","67","3.53","0.57","84528","38","","2017-01"
"4","607063.52","15.14","2086.13","","40096","291","65.30","0","33.0","8.12","2.33","859.36","上市系","2017-07-01","xinhehui","鑫合汇","5651","0","0.0","369034.5","38","5.32","66.31","79940","505","","2017-01"
"5","495186.41","4.16","30.47","民营系","119081","16251","126.04","0","17.0","11.09","6.32","5785.61","风投系","2017-07-01","tuandai","团贷网","10293","0","0.0","1297370.97","55","1.48","3.22","88817","91","","2017-01"
"6","402028.60","7.76","7.66","","51822","52460","312.79","0","13.0","10.71","15.80","2425.99","上市系","2017-07-01","eloancn","翼龙贷","10000","0","432226.52","3127935.22","68","3.40","0.47","65538","144","","2017-01"
"7","398688.31","4.04","21.07","民营系","98778","18926","109.77","0","0.0","10.07","2.94","-2642.02","民营系","2017-07-01","xiaoniu88","小牛在线","10300","0","571621.09","1130680.5","42","0.68","0.42","18954","223","","2017-01"
"8","293703.32","6.39","0.30","民营系","45978","979505","137.22","0","4.0","18.01","12.26","550.11","风投系","2017-07-01","ppdai","拍拍贷","10000","0","364166.66","1372188.5","114","20.48","0.07","1157769","52","","2017-01"
"9","279892.47","1.24","5.65","上市公司系","225930","49498","946.71","0","1.0","11.61","32.20","-1004.76","上市系","2017-07-01","yirendai","宜人贷","3000","0","218361.28","2840123.58","53","0.96","0.02","49501","85","","2017-01"
"10","279562.55","16.51","78.71","民营系","16936","3552","28.23","0","22.0","11.37","5.87","-281.28","风投系","2017-07-01","edai","宜贷网","10000","0","38376.29","282273.84","35","5.68","2.60","268249","942","","2017-01"
"11","237524.38","0.93","1.04","民营系","256561","227396","69.59","0","6.0","12.17","31.21","-503.43","风投系","2017-07-01","iqianjin","爱钱进","20000","0","104994.38","1391799.65","31","7.55","0.02","3716329","689","","2017-01"
"12","224992.74","1.66","0.89","民营系","135530","253615","58.95","0","16.0","9.53","11.43","-10557.92","风投系","2017-07-01","ppmoney","PPmoney","15000","0","296149.61","884236.65","48","0.78","1.19","344124","498","","2017-01"
"13","215134.73","1.44","1.56","民营系","149370","137761","215.30","0","9.0","10.13","20.81","-1337.17","风投系","2017-07-01","yooli","有利网","5000","0","160181.37","1076522.83","46","0.80","0.20","1823601","142","","2017-01"
"14","207329.92","1.25","1.45","","165314","143413","166.93","0","21.0","11.22","22.31","-2218.84","民营系","2017-07-01","niwodai","你我贷","10000","0","170770.19","1669265.55","66","7.44","0.74","1234606","40","","2017-01"
"15","206090.83","2.35","8.73","","87811","23596","84.48","0","10.0","10.84","9.51","-2242.55","上市系","2017-07-01","rxdai","投哪网","10000","0","183508.31","844846.78","55","10.73","0.35","24202","96","","2017-01"
"16","175684.74","393.91","0.80","民营系","446","219724","61.18","0","7.0","9.40","14.76","-825.24","风投系","2017-07-01","dianrong","点融网","20000","0","199651.45","1223576.67","45","99.28","0.70","231103","129","","2017-01"
"17","163943.70","26.87","103.83","国资系","6101","1579","12.25","0","26.0","5.11","2.36","-3148.25","国资系","2017-07-01","eastlending","东方汇","20000","0","114385.65","245037.19","31","13.03","8.67","1579","2001","","2017-01"
"18","162263.92","8.43","2285.41","","19246","71","8.73","0","43.0","7.66","5.26","-6753.54","上市系","2017-07-01","2750","聚宝匯","315804","0","247736.95","2619148.46","29","1.88","63.73","736","2750","","2017-01"
