"id","actualCapital","aliasName","association","associationDetail","autoBid","autoBidCode","bankCapital","bankFunds","bidSecurity","bindingFlag","businessType","companyName","credit","creditLevel","delayScore","delayScoreDetail","displayFlg","drawScore","drawScoreDetail","equityVoList","experienceScore","experienceScoreDetail","fundCapital","gjlhhFlag","gjlhhTime","gruarantee","inspection","juridicalPerson","locationArea","locationAreaName","locationCity","locationCityName","manageExpense","manageExpenseDetail","newTrustCreditor","newTrustCreditorCode","officeAddress","onlineDate","payment","paymode","platBackground","platBackgroundDetail","platBackgroundDetailExpand","platBackgroundExpand","platEarnings","platEarningsCode","platName","platStatus","platUrl","problem","problemTime","recordId","recordLicId","registeredCapital","riskCapital","riskFunds","riskReserve","riskcontrol","securityModel","securityModelCode","securityModelOther","serviceScore","serviceScoreDetail","startInvestmentAmout","term","termCodes","termWeight","transferExpense","transferExpenseDetail","trustCapital","trustCreditor","trustCreditorMonth","trustFunds","tzjPj","vipExpense","withTzj","withdrawExpense","platId"
"2144","8000.00","陆金所","1","2014年03月01日加入广西互联网金融协会任职务<br/>2016年03月25日加入中国互联网金融协会任理事单位职务","不支持","0","平安银行","1","-","1","","上海陆金所互联网金融信息服务有限公司","0","","3.6","一周内","1","2.6","两三天内","","3.2","一般","","0","","平安融资担保（天津）有限公司(承保20000万元)","0","刘晓巍","31","上海","3115","浦东","","","随时","1","上海市浦东新区陆家嘴环路1333号14楼10单元","2012-01-22","1","借记卡网付","0","","银行系","1","7.73%","7.73","陆金服","1","http://www.lup2p.com","0","","沪ICP备15024582号-1","","10000.00","","0","0.0","1","融资性担保公司","2","","3.2","一般","","24月以上标(85.0%)、天标(8.5%)","[2, 1, 7, 6, 8]","28.82","'稳盈-安e'转让服务:每笔将向债权出让人收取转让价格0.2%的转让手续费","","","","0","","AAA","","0","0","59"
"2145","5000.00","红岭创投","1","2014年03月01日加入互联网金融专业委员会任会员职务<br/>2016年03月25日加入中国互联网金融协会任会员职务","支持","1","","0","VIP100%本金保障，非VIP享受50%本金垫付","1","","红岭创投电子商务股份有限公司","0","","3.9","一周内","1","2.7","两三天内","","3.5","满意","","0","","","0","周世平","44","广东","4403","深圳","","","随时","1","深圳市益田创新科技园（福田区益田花园二期19栋7-13楼）","2009-03-17","1","借记卡网付","0","","民营系","2","8.15%","8.15","红岭创投","1","http://www.my089.com","0","","粤ICP备10234900号","粤B2-20130472","6000.00","","0","8000.0","0","风险准备金(8000.0万元)","02","","3.5","满意","","1月标(78.9%)、天标(18.3%)","[2, 1, 4]","2.03","（1）债权持有30天（含）以内，转让服务费率为转让本金的2%；（2）债权持有超过30天且在90天（含），转让服务费率为转让本金的1%；（3）债权持有超过90天，转让服务费率为转让本金的0.5%；","","","","0","","A","网站注册会员可申请成为VIP会员，享受本金保障，费用每年180元。VIP会员可以享受网站专属客服服务、风险准备金全额垫付、自动投标、债权转让、红币兑换等增值服务和权利。","0","每次提现金额允许范围为100元-100万元；小于等于5万的提现按每笔5元收费，大于5万的提现系统将自动按5万拆分成多笔计算收费，同一帐户每天提现总额无限制。","60"
"2146","3938.00","小赢理财","0","","支持","1","上海华瑞银行","1","众安保险承保","1","","深圳市赢众通金融信息服务有限责任公司","0","","3.9","一周内","1","3.5","一天内","","3.6","满意","","0","","","0","唐越","44","广东","4403","深圳","0","","随时","1","深圳市南山区深湾一路三号红树西岸花园2栋5单元","2014-08-01","1,4","借记卡网付,线下充值(无奖励)","0","","风投系","5","7.38%","7.38","小赢理财","1","https://www.xiaoying.com/","0","","粤ICP备14057169号","","6510.00","","0","0.0","1","保险公司","5","","3.6","满意","","12-24月标(30.5%)、1月标(20.8%)","[3, 2, 1, 7, 6, 5, 4]","8.75","0","","","","0","","","0","0","0","1309"
"2147","12195.00","微贷网","1","2015年09月13日加入杭州市互联网金融协会任执行会长职务","支持","1","厦门银行","1","当天偿付","1","车贷(100%)","微贷（杭州）金融信息服务有限公司","0","","4.2","三天内","1","2.9","两三天内","[{u'updDate': u'', u'equityCode': u'300300', u'insDate': u'', u'insUserId': u'', u'equityId': 1, u'updUserId': u'', u'equityMarket': u'u6df1u4ea4u6240', u'updUserName': u'', u'insUserName': u'', u'platId': 38}]","4.1","满意","银行存管 存管机构为厦门银行","0","","","1","姚宏","33","浙江","3301","杭州","每一笔利息回款的时候，平台向投资人收取利息的6％作为平台的利息管理费。","","随时","1","浙江财富金融中心25层，41，50层（杭州市江干区解放东路33号)","2011-07-08","1","借记卡网付","0","上市公司参股","上市公司参股","3","7.6%","7.6","微贷网","1","https://www.weidai.com.cn/?hmsr=A431&psource=A431","0","","浙ICP备15029561号 ","浙B2-20160682","12195.00","厦门银行","1","10545.17","1","风险准备金(10545.17万元)","02","","4.1","满意","","1月标(62.7%)、3月标(18.6%)","[3, 2, 1, 7, 6, 4, 8]","3.42","根据债权持有天数不同，手续费施行阶梯式扣费，手续费由转让人承担。","","","","0","","","免费","0","每月前3笔提现免费，超过3笔手续费2元一笔，未投资资金转可提收取0.5％的手续费。单笔50元起提。","38"
"2148","3730.00","鑫合汇","1","2015年05月17日加入杭州市互联网金融协会任执行会长职务<br/>2016年08月19日加入中国互联网金融协会任会员职务","支持","1","浙商银行","1","由第三方机构为鑫合汇融资项目提供担保服务","1","","杭州鑫合汇互联网金融服务有限公司","0","","3.5","一周内","1","2.4","两三天内","[{u'updDate': u'', u'equityCode': u'600175', u'insDate': u'', u'insUserId': u'', u'equityId': 1, u'updUserId': u'', u'equityMarket': u'u4e0au4ea4u6240', u'updUserName': u'', u'insUserName': u'', u'platId': 505}]","2.9","一般","银行存管 存管机构为浙商银行","0","","","1","杨君","33","浙江","3301","杭州","0","","2个月","0","杭州市拱墅区祥园路88号中国智慧信息产业园5#8、9楼","2013-12-12","1","借记卡网付","0","上市公司参股","上市公司参股","3","9.72%","9.72","鑫合汇","1","http://www.xinhehui.com","0","","浙ICP备14025828号-1 ","浙B2-20150262","5651.00","浙商银行","1","0.0","1","融资性担保公司","2","","2.9","一般","","12-24月标(64.9%)、天标(31.0%)","[2, 1, 7]","0.91","","","","","2","","","0","0","1.提现时每笔收取2元的手续费（由第三方支付平台收取），可通过免收手续费次数抵扣。2.充值后未用于投资的金额，提现将收取0.2%的提现转账费用（由第三方支付平台收取）。","505"
"2149","20000.00","爱钱进","0","","支持","1","华夏银行","1","风险准备金","1","个人信贷(100%)","爱钱进（北京）信息科技有限公司","5","","3.5","一周内","1","2.7","两三天内","","3.4","一般","银行存管 存管机构为华夏银行","0","","","1","董祺","11","北京","1101","东城","无费用","","随时","1","北京市东城区 银河SOHO D1座 17层","2014-05-06","1","借记卡网付","2","民营系","风投系","5","10.75%","10.75","爱钱进","1","http://www.iqianjin.com/","0","","京ICP备14017729号 ","京ICP证150121号","20000.00","华夏银行","1","37533.27","1","非融资性担保公司、风险准备金(37533.27万元)","3,02","","3.4","一般","","24月以上标(55.5%)、12-24月标(25.1%)","[3, 2, 7, 6, 5, 4, 8]","29.83","此项费用只针对散标或债权。如果持有天数不足90天需要扣除每份债权价格2%的服务费；如果持有债权天数超过90天（含），则扣除每份债权价格0.5%的服务费。","","","","0","","","无费用","0","无费用","689"
"2150","3793.00","团贷网","1","2014年03月07日加入东莞市互联网金融协会任会长单位职务<br/>2013年12月01日加入广东互联网金融协会任副会长单位职务<br/>2016年03月25日加入中国互联网金融协会任首批会员单位职务","支持","1","厦门银行","1","VIP享有担保公司垫付本息，普通会员享有担保公司垫付本金","1","","东莞团贷网互联网科技服务有限公司","8","","3.9","一周内","1","3.2","一天内","","3.7","满意","银行存管 存管机构为厦门银行","0","","东莞市卓诚融资担保有限公司(承保10000万元)<br/>上海中驰建筑工程有限公司(承保6000万元)<br/>四川绵竹汇通典当有限责任公司(承保2000万元)","2","张林","44","广东","4419","东莞","借入者需要，投资者不需要(借入者成交管理费：1、借入者在借入成功后，团贷网将相应收取成交管理费，管理费直接从借款中扣除。普通会员的管理费为借款本金的4％，特权会员的管理费为借款本金的3％。借款者管理费用的具体数额根据借款期限与借款人的资质条件确定。如特殊情况也可个别协商。2、团贷网郑重承诺：如借入者无法收到借款，团贷网将不收取任何费用。投资者利息管理费：1、在团贷网投资的所有投资者都是免收利息管理费的！)","","1个月","2","广东省东莞市南城区鸿福路102号汇成大厦","2012-07-15","1","借记卡网付","2","民营系","风投系","5","9.49%","9.49","团贷网","1","http://www.tuandai.com","0","","粤ICP备12043601号","","10293.00","厦门银行","1","10060.6","1","担保公司、风险准备金(10060.6万元)","01,02","担保公司","3.7","满意","","天标(48.8%)、1月标(26.3%)","[3, 2, 1, 7, 4, 8]","4.93","","","","","0","","","特权会员30/月150/半年288/年(1、团贷网普通会员永远免费，借入人和投资人可以任意发布信息，寻求借款或投资机会。2、团贷网特权会员按时间收取会员费，一次性购买一年会员费需要288元。)","0","0.1％-0.3％(1、会员充值不收取任何费用。　2、会员取现时按照额度，仅代收第三方平台的取现费用。普通会员提现费用为提现金额的0.3％，每笔提现费用不封顶，单次提现金额上限为30万元。特权会员提现费用为提现金额的0.1％，每笔提现费用封顶为200元，单次提现金额上限为80万元。)","91"
"2151","5000.00","51人品","1","2016年09月13日加入杭州市互联网金融协会任副会长职务","支持","1","","","风险准备金","1","个人信贷(80%)、消费金融(20%)","杭州义牛网络技术有限公司","0","","3.9","一周内","1","3.8","一天内","[{u'updDate': u'', u'equityCode': u'600208', u'insDate': u'', u'insUserId': u'', u'equityId': 1, u'updUserId': u'', u'equityMarket': u'u4e0au4ea4u6240', u'updUserName': u'', u'insUserName': u'', u'platId': 4891}]","3.5","满意","","0","","","0","孙海涛","33","浙江","3301","杭州","无","","随时","1","浙江省杭州市西湖区紫霞街80号西溪谷国际商务中心G座12-15楼","2015-05-01","1","借记卡网付","0","上市公司参股","上市公司参股","3","6.55%","6.55","51人品","1","https://www.51rp.com","0","","浙ICP备15024186号-2","浙ICP证B2-20160340","5000.00","","0","29000.0","1","风险准备金(29000.0万元)","02","","3.3","一般","","天标(71.9%)、12-24月标(16.1%)","[2, 1, 7, 6, 4, 8]","9.22","无","","","","0","","","无","0","免费","4891"
"2152","6000.00","宜贷网","0","","支持","1","恒丰银行","1","100％抵押标","1","","上海易贷网金融信息服务有限公司","0","","3.8","一周内","1","2.9","两三天内","","3.6","满意","","0","","","0","李宁","51","四川","5101","成都","按照投资收益（利息收入）的1％-5％收取。","","随时","1","成都市锦江区东华正街42号广电仕百达国际大厦25楼（四川分公司）","2014-01-01","1","借记卡网付","2","民营系","风投系","5","11.05%","11.05","宜贷网","1","http://www.yidai.com/","0","","沪ICP备15020893号-1","","10000.00","","","5137.0","1","风险准备金(5137.0万元)","02","","3.7","满意","","天标(87.7%)、1月标(6.7%)","[3, 2, 1, 6, 4, 8]","8.13","转让价格的0.1％","","","","0","","A","无","1","每月首次申请提现免手续费，其余申请按照提现金额X0.1％，单笔最低2元，最高收费100元。","942"
"2153","3000.00","宜人贷","0","","不支持","0","广发银行","1","-","1","个人信贷(100%)","恒诚科技发展（北京）有限公司","0","","3.5","一周内","1","2.7","两三天内","[{u'updDate': u'', u'equityCode': u'YRD', u'insDate': u'', u'insUserId': u'', u'equityId': 4, u'updUserId': u'', u'equityMarket': u'u7f8eu56fdu7ebdu4ea4u6240', u'updUserName': u'', u'insUserName': u'', u'platId': 85}]","3.2","一般","银行存管 存管机构为广发银行广州分行","0","","","0","唐宁","11","北京","1105","朝阳","","","3个月","3","北京市朝阳区通惠河北路朗园vintage 2号楼 A座 3-4层","2012-07-05","1","借记卡网付","3","股权上市","股权上市","3","11.56%","11.56","宜人贷","1","http://www.yirendai.com","0","","京ICP备15002532号-1 ","京ICP证150277号","3000.00","广发银行广州分行","1","81664.64","1","风险准备金(81664.64万元)","02","","3.1","一般","","24月以上标(66.5%)、12-24月标(33.5%)","[7, 8]","30.77","转让达成后，宜人贷向债权出让人收取转让服务费。该费用将在出让人的转让所得金额中自动扣除。当前优惠期内，转让服务费=转让债权的剩余本金×0.2%（千分之二），最低1元。","","","","0","","AA","0(无vip费用)","0","0(无提现费)","85"
