"id","date","day","oneMonth","twoMonth","threeMonth","sixMonth","wdzjPlatId"
"1","2016-06-30","4.38","5.20","4.10","4.70","8.38","59"
"2","2016-07-31","4.42","5.19","4.13","4.64","8.38","59"
"3","2016-08-31","4.39","5.24","4.06","5.09","8.38","59"
"4","2016-09-30","4.35","5.22","7.84","7.47","8.38","59"
"5","2016-10-31","4.44","5.19","7.84","7.64","8.39","59"
"6","2016-11-30","4.72","4.89","7.84","7.73","8.39","59"
"7","2016-12-31","4.95","4.84","7.94","7.77","8.39","59"
"8","2017-01-31","4.77","5.44","7.96","7.77","8.40","59"
"9","2017-02-28","4.44","4.97","7.91","7.60","8.40","59"
"10","2017-03-31","4.63","4.85","7.91","7.12","8.39","59"
"11","2017-04-30","4.17","5.18","0.00","6.27","8.39","59"
"12","2017-05-31","4.16","5.18","0.00","6.00","8.39","59"
"13","2016-06-30","6.70","9.37","9.20","9.43","11.03","60"
"14","2016-07-31","6.92","9.32","9.25","10.86","11.32","60"
"15","2016-08-31","5.15","9.12","9.11","9.79","10.84","60"
"16","2016-09-30","5.15","9.51","9.54","9.16","10.79","60"
"17","2016-10-31","3.20","9.30","9.35","9.30","11.04","60"
"18","2016-11-30","5.33","8.94","10.67","9.12","10.90","60"
"19","2016-12-31","7.03","9.24","9.16","9.37","10.97","60"
"20","2017-01-31","5.66","9.32","8.77","9.68","10.91","60"
"21","2017-02-28","4.63","7.64","7.81","8.40","10.38","60"
"22","2017-03-31","6.44","7.56","8.07","8.87","10.91","60"
"23","2017-04-30","5.87","8.16","8.78","9.63","10.58","60"
"24","2017-05-31","5.65","7.80","7.61","8.52","10.64","60"
"25","2016-06-30","5.57","5.97","6.30","7.24","7.67","1309"
"26","2016-07-31","4.65","6.19","6.31","7.11","7.93","1309"
"27","2016-08-31","5.06","5.94","6.23","7.17","8.05","1309"
"28","2016-09-30","5.31","5.84","6.28","7.17","7.76","1309"
"29","2016-10-31","4.76","5.16","6.34","7.23","8.03","1309"
