"id","date","qianPerson","wanPerson","shiWanPerson","baiWanPerson","wdzjPlatId"
"6347","2016-06-30","11632.00","107146.00","37394.00","3353.00","59"
"6348","2016-07-31","12143.00","131047.00","41651.00","4117.00","59"
"6349","2016-08-31","14295.00","102319.00","43848.00","5317.00","59"
"6350","2016-09-30","13923.00","94607.00","44723.00","5951.00","59"
"6351","2016-10-31","19135.00","98649.00","47774.00","5925.00","59"
"6352","2016-11-30","32961.00","166497.00","66801.00","7463.00","59"
"6353","2016-12-31","18025.00","129869.00","70195.00","10539.00","59"
"6354","2017-01-31","19096.00","130582.00","75853.00","11249.00","59"
"6355","2017-02-28","30300.00","138511.00","72879.00","10567.00","59"
"6356","2017-03-31","21172.00","113893.00","41217.00","7423.00","59"
"6357","2017-04-30","3288.00","63459.00","19186.00","651.00","59"
"6358","2017-05-31","6315.00","73296.00","27270.00","922.00","59"
"6359","2016-06-30","34995.00","42310.00","16638.00","916.00","60"
"6360","2016-07-31","33199.00","42824.00","17258.00","1014.00","60"
"6361","2016-08-31","31866.00","42402.00","17863.00","1037.00","60"
"6362","2016-09-30","30917.00","41934.00","18289.00","1111.00","60"
"6363","2016-10-31","43840.00","41527.00","16823.00","807.00","60"
"6364","2016-11-30","30949.00","40506.00","17504.00","951.00","60"
"6365","2016-12-31","34300.00","42233.00","18358.00","1164.00","60"
"6366","2017-01-31","32156.00","41853.00","18268.00","1088.00","60"
"6367","2017-02-28","31081.00","41020.00","17998.00","989.00","60"
"6368","2017-03-31","57933.00","61002.00","21976.00","1164.00","60"
"6369","2017-04-30","32749.00","41631.00","18345.00","1011.00","60"
"6370","2017-05-31","29895.00","40563.00","18595.00","1093.00","60"
"6371","2016-06-30","7879.00","13619.00","3117.00","138.00","1309"
"6372","2016-07-31","8224.00","14859.00","4119.00","192.00","1309"
"6373","2016-08-31","9221.00","14345.00","3671.00","165.00","1309"
"6374","2016-09-30","8816.00","14710.00","3786.00","170.00","1309"
"6375","2016-10-31","10216.00","15204.00","3190.00","154.00","1309"
"6376","2016-11-30","10084.00","16746.00","4322.00","183.00","1309"
"6377","2016-12-31","11413.00","21874.00","5930.00","205.00","1309"
"6378","2017-01-31","11440.00","20665.00","3946.00","167.00","1309"
"6379","2017-02-28","15545.00","21031.00","2997.00","103.00","1309"
"6380","2017-03-31","18900.00","31249.00","4847.00","175.00","1309"
"6381","2017-04-30","19904.00","28850.00","5485.00","204.00","1309"
"6382","2017-05-31","23018.00","29267.00","6007.00","204.00","1309"
"6383","2016-06-30","33769.00","38492.00","6733.00","296.00","38"
"6384","2016-07-31","35426.00","44450.00","7784.00","302.00","38"
"6385","2016-08-31","53547.00","52254.00","8043.00","329.00","38"
"6386","2016-09-30","45056.00","50834.00","7931.00","434.00","38"
"6387","2016-10-31","35754.00","57012.00","8396.00","391.00","38"
"6388","2016-11-30","35493.00","61299.00","10455.00","398.00","38"
"6389","2016-12-31","34060.00","65663.00","13486.00","549.00","38"
"6390","2017-01-31","41364.00","62743.00","12461.00","438.00","38"
"6391","2017-02-28","57776.00","70350.00","11379.00","319.00","38"
"6392","2017-03-31","34066.00","78837.00","16935.00","455.00","38"
"6393","2017-04-30","38497.00","77973.00","16927.00","512.00","38"
"6394","2017-05-31","37169.00","74816.00","15856.00","459.00","38"
"6395","2016-06-30","12552.00","13936.00","4865.00","331.00","505"
"6396","2016-07-31","20272.00","16024.00","5839.00","446.00","505"
"6397","2016-08-31","17242.00","17321.00","6461.00","551.00","505"
"6398","2016-09-30","20721.00","17638.00","6893.00","670.00","505"
"6399","2016-10-31","23376.00","21300.00","7055.00","575.00","505"
"6400","2016-11-30","19366.00","20639.00","10284.00","1051.00","505"
"6401","2016-12-31","10352.00","21658.00","9193.00","722.00","505"
"6402","2017-01-31","9032.00","20392.00","9599.00","985.00","505"
"6403","2017-02-28","9577.00","23221.00","10496.00","1171.00","505"
"6404","2017-03-31","8477.00","20400.00","12146.00","1448.00","505"
"6405","2017-04-30","5674.00","17698.00","13195.00","1999.00","505"
"6406","2017-05-31","5697.00","15317.00","13027.00","2263.00","505"
"6407","2016-03-31","114940.00","17695.00","2736.00","64.00","689"
"6408","2016-04-30","106291.00","17659.00","2520.00","65.00","689"
"6409","2016-05-31","100599.00","19674.00","3131.00","34.00","689"
"6410","2016-06-30","107486.00","24595.00","3020.00","41.00","689"
"6411","2016-07-31","149579.00","30489.00","3380.00","18.00","689"
"6412","2016-08-31","205763.00","39143.00","3557.00","16.00","689"
"6413","2016-09-30","212269.00","40174.00","4435.00","44.00","689"
"6414","2016-10-31","219130.00","24498.00","1819.00","15.00","689"
"6415","2016-11-30","219474.00","36334.00","3734.00","25.00","689"
"6416","2016-12-31","201079.00","56543.00","8458.00","69.00","689"
"6417","2017-01-31","210260.00","41580.00","4675.00","26.00","689"
"6418","2017-02-28","214497.00","37938.00","3172.00","16.00","689"
"6419","2016-06-30","40970.00","26491.00","4344.00","135.00","91"
"6420","2016-07-31","47148.00","36232.00","6462.00","287.00","91"
"6421","2016-08-31","44046.00","33765.00","6006.00","247.00","91"
"6422","2016-09-30","47933.00","36495.00","6421.00","250.00","91"
"6423","2016-10-31","51923.00","39353.00","6738.00","234.00","91"
"6424","2016-11-30","54401.00","38382.00","7044.00","282.00","91"
"6425","2016-12-31","57236.00","38617.00","7856.00","350.00","91"
"6426","2017-01-31","54934.00","33032.00","7057.00","228.00","91"
"6427","2017-02-28","68778.00","40289.00","7107.00","222.00","91"
"6428","2017-03-31","71726.00","44994.00","6984.00","241.00","91"
"6429","2017-04-30","70118.00","47946.00","7800.00","250.00","91"
"6430","2017-05-31","71496.00","59914.00","10111.00","298.00","91"
"6431","2016-06-30","94831.00","25269.00","163.00","5.00","4891"
"6432","2016-07-31","98551.00","27006.00","112.00","2.00","4891"
"6433","2016-08-31","109687.00","27054.00","79.00","2.00","4891"
"6434","2016-09-30","121833.00","27560.00","5.00","0.00","4891"
"6435","2016-10-31","141713.00","28597.00","50.00","1.00","4891"
"6436","2016-11-30","145137.00","37588.00","416.00","4.00","4891"
"6437","2016-12-31","152212.00","43721.00","659.00","2.00","4891"
"6438","2017-01-31","171551.00","43816.00","435.00","2.00","4891"
"6439","2017-02-28","213194.00","44996.00","700.00","1.00","4891"
"6440","2017-03-31","241021.00","68627.00","936.00","3.00","4891"
"6441","2017-04-30","200895.00","71969.00","2089.00","2.00","4891"
"6442","2017-05-31","200394.00","88097.00","2918.00","17.00","4891"
"6443","2016-06-30","4654.00","4161.00","1815.00","232.00","942"
"6444","2016-07-31","6329.00","4585.00","1838.00","247.00","942"
"6445","2016-08-31","5073.00","4484.00","1905.00","287.00","942"
"6446","2016-09-30","4212.00","3822.00","1765.00","383.00","942"
"6447","2016-10-31","4018.00","4333.00","2048.00","491.00","942"
"6448","2016-11-30","4195.00","4684.00","2466.00","432.00","942"
"6449","2016-12-31","6580.00","5644.00","2437.00","337.00","942"
"6450","2017-01-31","7963.00","5806.00","2651.00","418.00","942"
"6451","2017-02-28","5958.00","4762.00","1511.00","244.00","942"
"6452","2017-03-31","8570.00","5973.00","1813.00","289.00","942"
"6453","2017-04-30","9709.00","6788.00","2578.00","277.00","942"
"6454","2017-05-31","8391.00","7829.00","3858.00","722.00","942"
"6455","2016-06-30","133803.00","35226.00","2131.00","20.00","85"
"6456","2016-07-31","141881.00","38277.00","2189.00","32.00","85"
"6457","2016-08-31","135481.00","31421.00","2301.00","31.00","85"
"6458","2016-09-30","136706.00","44390.00","2463.00","52.00","85"
"6459","2016-10-31","147254.00","42514.00","1708.00","8.00","85"
"6460","2016-11-30","148973.00","52441.00","3308.00","43.00","85"
"6461","2016-12-31","152861.00","60002.00","4655.00","78.00","85"
"6462","2017-01-31","161658.00","59872.00","4318.00","82.00","85"
"6463","2017-02-28","180522.00","42641.00","1255.00","4.00","85"
"6464","2017-03-31","169354.00","53658.00","2603.00","27.00","85"
"6465","2017-04-30","182943.00","44764.00","2736.00","50.00","85"
"6466","2017-05-31","177071.00","50233.00","3594.00","65.00","85"
"6467","2016-06-30","45389.00","44931.00","4891.00","61.00","498"
"6468","2016-07-31","40282.00","46052.00","6515.00","56.00","498"
"6469","2016-08-31","41927.00","53362.00","8527.00","88.00","498"
"6470","2016-09-30","44083.00","49253.00","8359.00","65.00","498"
"6471","2016-10-31","81470.00","48508.00","6141.00","58.00","498"
"6472","2016-11-30","94157.00","44373.00","4474.00","47.00","498"
"6473","2016-12-31","77968.00","54796.00","10196.00","250.00","498"
"6474","2017-01-31","93255.00","37960.00","4263.00","52.00","498"
"6475","2017-02-28","107175.00","41372.00","3658.00","19.00","498"
"6476","2017-03-31","76282.00","40329.00","5215.00","43.00","498"
"6477","2017-04-30","111388.00","21086.00","1932.00","11.00","498"
"6478","2017-05-31","87256.00","47602.00","8267.00","88.00","498"
"6479","2016-06-30","90523.00","34319.00","3727.00","37.00","142"
"6480","2016-07-31","85739.00","33906.00","4198.00","49.00","142"
"6481","2016-08-31","81275.00","35377.00","4127.00","44.00","142"
"6482","2016-09-30","65845.00","33299.00","4206.00","33.00","142"
"6483","2016-10-31","70365.00","33387.00","3667.00","36.00","142"
"6484","2016-11-30","135012.00","34645.00","3765.00","34.00","142"
"6485","2016-12-31","115701.00","36475.00","4320.00","33.00","142"
"6486","2017-01-31","109788.00","35328.00","4221.00","33.00","142"
"6487","2017-02-28","122626.00","42801.00","5598.00","40.00","142"
"6488","2017-03-31","106830.00","51349.00","8794.00","41.00","142"
"6489","2017-04-30","65304.00","34643.00","4837.00","39.00","142"
"6490","2017-05-31","60128.00","35650.00","5369.00","41.00","142"
"6491","2016-06-30","85193.00","24700.00","2759.00","80.00","40"
"6492","2016-07-31","80769.00","22416.00","2684.00","87.00","40"
"6493","2016-08-31","75460.00","27586.00","2829.00","97.00","40"
"6494","2016-09-30","97410.00","33769.00","3013.00","76.00","40"
"6495","2016-10-31","120721.00","34281.00","4633.00","158.00","40"
"6496","2016-11-30","116890.00","40190.00","5176.00","121.00","40"
"6497","2016-12-31","126745.00","38029.00","4953.00","157.00","40"
"6498","2017-01-31","130442.00","31232.00","3549.00","89.00","40"
"6499","2017-02-28","133551.00","29174.00","2809.00","67.00","40"
"6500","2017-03-31","117685.00","39809.00","4123.00","100.00","40"
"6501","2017-04-30","93105.00","34491.00","3410.00","74.00","40"
"6502","2017-05-31","124393.00","37438.00","9800.00","4727.00","40"
"6503","2016-06-30","15628.00","9149.00","1700.00","57.00","1152"
"6504","2016-07-31","16073.00","8631.00","1677.00","83.00","1152"
"6505","2016-08-31","16987.00","8973.00","1738.00","75.00","1152"
"6506","2016-09-30","17179.00","10867.00","2110.00","95.00","1152"
"6507","2016-10-31","17281.00","10657.00","2135.00","109.00","1152"
"6508","2016-11-30","18417.00","11343.00","2502.00","145.00","1152"
"6509","2016-12-31","17282.00","12514.00","3094.00","194.00","1152"
"6510","2017-01-31","18479.00","11534.00","2660.00","143.00","1152"
"6511","2017-02-28","19044.00","14540.00","3023.00","156.00","1152"
"6512","2017-03-31","20002.00","19247.00","3960.00","183.00","1152"
"6513","2017-04-30","21638.00","16336.00","3988.00","194.00","1152"
"6514","2017-05-31","21844.00","15290.00","4178.00","234.00","1152"
"6515","2016-06-30","53.00","24.00","5.00","8.00","129"
"6516","2016-07-31","53.00","17.00","1.00","12.00","129"
"6517","2016-08-31","56.00","21.00","4.00","11.00","129"
"6518","2016-09-30","85.00","56.00","5.00","9.00","129"
"6519","2016-10-31","9.00","8.00","5.00","10.00","129"
"6520","2016-11-30","63.00","29.00","3.00","11.00","129"
"6521","2016-12-31","57.00","15.00","2.00","10.00","129"
"6522","2017-01-31","253.00","171.00","10.00","11.00","129"
"6523","2017-02-28","171.00","121.00","8.00","9.00","129"
"6524","2017-03-31","12.00","12.00","1.00","11.00","129"
"6525","2017-04-30","0.00","0.00","1.00","11.00","129"
"6526","2017-05-31","1.00","2.00","3.00","9.00","129"
"6527","2016-06-30","24766.00","13755.00","2106.00","7.00","827"
"6528","2016-07-31","29067.00","16413.00","2625.00","7.00","827"
"6529","2016-08-31","38750.00","21365.00","3750.00","2.00","827"
"6530","2016-09-30","32882.00","22966.00","4353.00","14.00","827"
"6531","2016-10-31","38625.00","23211.00","3831.00","15.00","827"
"6532","2016-11-30","44600.00","26406.00","4336.00","26.00","827"
