"id","date","toPay10","toReceive10","wdzjPlatId"
"1","2016-07-31","16.04","0.01","59"
"2","2016-08-31","18.86","0.02","59"
"3","2016-09-30","17.22","0.01","59"
"4","2016-10-31","12.00","0.01","59"
"5","2016-11-30","6.77","0.01","59"
"6","2016-12-31","6.69","0.02","59"
"7","2017-01-31","5.69","0.02","59"
"8","2017-02-28","5.05","0.01","59"
"9","2017-03-31","4.59","0.01","59"
"10","2017-04-30","4.31","0.01","59"
"11","2017-05-31","3.86","0.01","59"
"12","2017-06-30","3.50","0.01","59"
"13","2016-07-31","1.25","12.48","60"
"14","2016-08-31","1.42","12.35","60"
"15","2016-09-30","1.38","13.61","60"
"16","2016-10-31","1.64","13.26","60"
"17","2016-11-30","1.39","13.74","60"
"18","2016-12-31","1.32","13.63","60"
"19","2017-01-31","1.60","12.42","60"
"20","2017-02-28","1.67","12.65","60"
"21","2017-03-31","1.20","13.11","60"
"22","2017-04-30","2.00","12.48","60"
"23","2017-05-31","1.47","13.59","60"
"24","2017-06-30","0.98","11.45","60"
"25","2016-07-31","37.83","64.98","1309"
"26","2016-08-31","35.71","64.03","1309"
"27","2016-09-30","31.33","62.93","1309"
"28","2016-10-31","28.23","62.19","1309"
"29","2016-11-30","27.77","60.65","1309"
"30","2016-12-31","27.85","6.07","1309"
"31","2017-01-31","29.93","4.35","1309"
"32","2017-02-28","29.19","3.81","1309"
"33","2017-03-31","33.71","3.20","1309"
"34","2017-04-30","36.59","2.86","1309"
"35","2017-05-31","41.77","8.65","1309"
"36","2017-06-30","45.07","12.41","1309"
"37","2016-07-31","4.87","0.84","38"
"38","2016-08-31","4.49","1.10","38"
"39","2016-09-30","5.15","0.83","38"
"40","2016-10-31","5.42","0.85","38"
"41","2016-11-30","5.61","0.72","38"
"42","2016-12-31","5.29","0.54","38"
"43","2017-01-31","3.53","0.57","38"
"44","2017-02-28","4.29","0.50","38"
"45","2017-03-31","3.40","0.55","38"
"46","2017-04-30","3.59","0.59","38"
"47","2017-05-31","3.24","0.63","38"
"48","2017-06-30","3.54","0.50","38"
"49","2016-07-31","4.08","64.26","505"
"50","2016-08-31","5.21","66.61","505"
"51","2016-09-30","5.94","71.30","505"
"52","2016-10-31","5.53","60.99","505"
"53","2016-11-30","4.56","55.38","505"
"54","2016-12-31","4.43","65.95","505"
"55","2017-01-31","5.32","66.31","505"
