"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"1","yifengjiedai","浙江","yfjd","2011-03-05 00:00:00","0","2254","亿峰借贷","2011-12","2011-12-31 00:00:00","0","0","0","停业"
"2","dinglidai","北京","dld","2011-01-01 00:00:00","0","2255","鼎力贷","2011-12","2011-12-31 00:00:00","10","0","0","停业"
"3","xueshengjiedaiwang","北京","xsjdw","2011-01-01 00:00:00","0","2256","学生借贷网","2011-12","2011-12-31 00:00:00","0","0","0","停业"
"4","mayidai","重庆","myd","2011-01-01 00:00:00","0","2257","蚂蚁贷","2011-12","2011-12-31 00:00:00","0","0","0","跑路"
"5","jishidai","河南","jsd","2011-01-01 00:00:00","0","2282","及时贷","2011-12","2011-12-31 00:00:00","1000","0","0","跑路"
"6","kongzhongdai","江苏","kzd","2011-01-01 00:00:00","0","2286","空中贷","2011-11","2011-11-01 00:00:00","0","0","0","停业"
"7","geilidai","广西","gld","2011-01-01 00:00:00","0","2281","给力贷","2011-11","2011-11-01 00:00:00","0","0","0","跑路"
"8","tianshijihua","云南","tsjh","2011-01-01 00:00:00","0","2285","天使计划","2011-10","2011-10-01 00:00:00","0","0","0","跑路"
"9","beierchuangtou","江苏","bect","2011-01-01 00:00:00","0","2284","贝尔创投","2011-09","2011-09-01 00:00:00","0","0","0","跑路"
"10","hahadai7","上海","hhd7","2009-07-01 00:00:00","0","5179","哈哈贷（沪）","2011-07","2011-07-21 00:00:00","0","0","1","停业"
"11","fenfendai","上海","ffd","2011-01-01 00:00:00","0","2287","分分贷","2012-12","2012-12-31 00:00:00","6000","0","0","停业"
"12","liandaiwang","上海","ldw2","2012-01-01 00:00:00","0","2289","恋贷网","2012-12","2012-12-31 00:00:00","0","0","0","跑路"
"13","antaizhuoyue","北京","atzy","2012-02-01 00:00:00","0","2291","安泰卓越","2012-12","2012-12-01 00:00:00","0","0","0","跑路"
"14","youyidai1","江苏","yyd1","2012-08-01 00:00:00","0","2292","优易贷","2012-12","2012-12-01 00:00:00","0","0","0","跑路"
"15","zhongdaibang","浙江","zdb","2012-01-01 00:00:00","0","2288","众贷邦","2012-10","2012-10-01 00:00:00","0","0","0","停业"
"16","taojindai","甘肃","tjd","2012-06-03 00:00:00","0","2290","淘金贷","2012-06","2012-06-08 00:00:00","0","0","0","跑路"
"17","huashengdai1","江西","hsd1","2013-07-04 00:00:00","0","2332","华生贷","2013-12","2013-12-29 00:00:00","10000","0","0","跑路"
"18","weiwocaifu","江苏","wwcf","2013-10-25 00:00:00","0","2331","维沃财富","2013-12","2013-12-27 00:00:00","100","0","0","跑路"
"19","juzhongdai","上海","jzd1","2012-11-01 00:00:00","0","2330","聚众贷","2013-12","2013-12-25 00:00:00","0","0","0","跑路"
"20","tianbiaodai","湖南","tbd","2013-05-27 00:00:00","0","2328","天标贷","2013-12","2013-12-20 00:00:00","1000","0","0","提现困难"
"21","huaimindai","湖南","hmd","2013-06-18 00:00:00","0","2329","怀民贷","2013-12","2013-12-20 00:00:00","1000","0","0","提现困难"
"22","haifacaifu","山东","hfcf2","2013-10-29 00:00:00","0","2327","海发财富","2013-12","2013-12-07 00:00:00","0","0","0","提现困难"
"23","huayuecaifu","广东","hycf13","2013-09-02 00:00:00","0","2325","华悦财富","2013-12","2013-12-05 00:00:00","300","0","0","提现困难"
"24","gaoyichuangtou","山东","gyct","2013-11-01 00:00:00","0","2323","高益创投","2013-12","2013-12-04 00:00:00","501","0","0","提现困难"
"25","jiatongchuangtou","湖南","jtct","2013-08-01 00:00:00","0","2322","佳通创投","2013-12","2013-12-03 00:00:00","0","0","0","提现困难"
"26","jishiyu","湖南","jsy","2013-03-12 00:00:00","0","869","及时雨","2013-12","2013-12-01 00:00:00","10000","0","0","提现困难"
"27","zhengdajinrong","江西","zdjr","2012-10-29 00:00:00","0","2321","正大金融","2013-12","2013-12-01 00:00:00","0","0","0","提现困难"
"28","hufadai","上海","hfd","2013-10-01 00:00:00","0","2320","沪发贷","2013-11","2013-11-30 00:00:00","0","0","0","提现困难"
"29","hejiachuangtou","安徽","hjct","2013-10-01 00:00:00","0","2319","禾嘉创投","2013-11","2013-11-29 00:00:00","2000","0","0","提现困难"
"30","bangnidai","浙江","bnd2","2013-10-01 00:00:00","0","2318","帮你贷","2013-11","2013-11-26 00:00:00","500","0","0","提现困难"
"31","chengyichuangtou","安徽","cyct","2013-09-22 00:00:00","0","280","诚宜创投","2013-11","2013-11-25 00:00:00","1000","0","0","提现困难"
"32","wuzhoucaifu","广东","wzcf","2013-08-15 00:00:00","0","2316","五洲财富","2013-11","2013-11-24 00:00:00","0","0","0","提现困难"
"33","xinbocaifu","浙江","xbcf","2013-09-13 00:00:00","0","2315","信博财富","2013-11","2013-11-22 00:00:00","3000","0","0","提现困难"
"34","lingxuancaifu","上海","lxcf2","2013-08-20 00:00:00","0","2313","凌轩财富","2013-11","2013-11-21 00:00:00","500","0","0","提现困难"
"35","jinyinfeng","广东","jyf","2013-07-01 00:00:00","0","2314","金银丰","2013-11","2013-11-21 00:00:00","2000","0","0","提现困难"
"36","aladai","浙江","ald","2013-02-20 00:00:00","0","2312","阿拉贷","2013-11","2013-11-20 00:00:00","0","0","0","提现困难"
"37","ankechuangtou","江苏","akct","2013-09-12 00:00:00","0","362","安客创投","2013-11","2013-11-19 00:00:00","50","0","0","提现困难"
"38","baoducaifu","浙江","bdcf","2013-07-23 00:00:00","0","2311","宝都财富","2013-11","2013-11-16 00:00:00","5000","0","0","停业"
"39","jiangchengdai5","安徽","jcd5","2013-10-16 00:00:00","0","2308","江城贷","2013-11","2013-11-16 00:00:00","3000","0","0","提现困难"
"40","jinxincaifu","上海","jxcf5","2013-07-25 00:00:00","0","320","今鑫财富","2013-11","2013-11-15 00:00:00","2000","0","0","提现困难"
"41","lianhuacaifu","浙江","lhcf","2013-03-29 00:00:00","0","2307","莲花财富","2013-11","2013-11-15 00:00:00","1000","0","0","提现困难"
"42","haoxiangdai","浙江","hxd1","2013-01-17 00:00:00","0","247","好想贷","2013-11","2013-11-12 00:00:00","108","0","0","提现困难"
"43","xinbangchuangtou","浙江","xbct","2013-09-27 00:00:00","0","2304","信邦创投","2013-11","2013-11-12 00:00:00","0","0","0","提现困难"
"44","desaicaifu","浙江","dscf","2013-08-01 00:00:00","0","2305","德塞财富","2013-11","2013-11-12 00:00:00","1000","0","0","提现困难"
