"id","actualCapital","aliasName","association","associationDetail","autoBid","autoBidCode","bankCapital","bankFunds","bidSecurity","bindingFlag","businessType","companyName","credit","creditLevel","delayScore","delayScoreDetail","displayFlg","drawScore","drawScoreDetail","equityVoList","experienceScore","experienceScoreDetail","fundCapital","gjlhhFlag","gjlhhTime","gruarantee","inspection","juridicalPerson","locationArea","locationAreaName","locationCity","locationCityName","manageExpense","manageExpenseDetail","newTrustCreditor","newTrustCreditorCode","officeAddress","onlineDate","payment","paymode","platBackground","platBackgroundDetail","platBackgroundDetailExpand","platBackgroundExpand","platEarnings","platEarningsCode","platName","platStatus","platUrl","problem","problemTime","recordId","recordLicId","registeredCapital","riskCapital","riskFunds","riskReserve","riskcontrol","securityModel","securityModelCode","securityModelOther","serviceScore","serviceScoreDetail","startInvestmentAmout","term","termCodes","termWeight","transferExpense","transferExpenseDetail","trustCapital","trustCreditor","trustCreditorMonth","trustFunds","tzjPj","vipExpense","withTzj","withdrawExpense","platId"
"222","0.00","亿峰借贷","0","","","","","0","-","0","","","0","","","","1","","","","","","","0","","","0","","33","浙江","3310","台州","","","","0","","2011-03-05","","","0","","","0","","0.0","亿峰借贷","2","http://www.yf066.com","1","2011-12-31","浙ICP备11005309号","","","","0","0.0","0","","","","","","","","","0.0","","","","","0","","","","0","","2254"
"223","0.00","鼎力贷","0","","","","","0","-","0","","北京创世弘鼎咨询有限公司","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","","11","北京","1108","海淀","","","","0","","2011-01-01","","","0","","","0","","0.0","鼎力贷","2","http://www.dldai.com","1","2011-12-31","京ICP备11008700号 ","","10.0","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2255"
"224","0.00","学生借贷网","0","","","","","0","-","0","","","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","","11","北京","1101","东城","","","","0","","2011-01-01","","","0","","","0","","0.0","学生借贷网","2","http://www.xuejiedai.com/","1","2011-12-31","","","","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2256"
"225","0.00","蚂蚁贷","0","","","","","0","-","0","","","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","","50","重庆","5001","万州","","","","0","","2011-01-01","","","0","","","0","","0.0","蚂蚁贷","5","http://www.mayi179.com/","1","2011-12-31","","","","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2257"
"226","1000.00","及时贷","0","","","","","0","-","0","","河南富惠通网络信息服务有限公司","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","马功成","41","河南","4102","开封","","","","0","","2011-01-01","","","0","","","0","","0.0","及时贷","5","http://www.jsd123.com","1","2011-12-31","马功成 ","","1000.0","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2282"
"227","0.00","空中贷","0","","","","","0","-","0","","无锡宣涵航空票务服务有限公司","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","廖中忠","32","江苏","3201","南京","","","","0","","2011-01-01","","","0","","","0","","0.0","空中贷","2","http://www.kzdai.com/","1","2011-11-01","苏ICP备10091306号-1","","0.0","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2286"
"228","0.00","给力贷","0","","","","","0","-","0","","","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","","45","广西","4501","南宁","","","","0","","2011-01-01","","","0","","","0","","0.0","给力贷","5","http://www.geilidai.com","1","2011-11-01","","","","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2281"
"229","0.00","天使计划","0","","","","","0","-","0","","","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","","53","云南","5301","昆明","","","","0","","2011-01-01","","","0","","","0","","0.0","天使计划","5","http://www.tsdai.com","1","2011-10-01","","","","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2285"
"230","0.00","贝尔创投","0","","","","","0","-","0","","","0","","1.0","超过两周","1","1.0","超过三天","","1.0","很不满意","","0","","","0","","32","江苏","3205","苏州","","","","0","","2011-01-01","","","0","","","0","","0.0","贝尔创投","5","http://www.bellvc.com","1","2011-09-01","","","","","0","0.0","0","","","","1.0","很不满意","","","","0.0","","","","","0","","","","0","","2284"
"231","400.00","分分贷","0","","支持","1","","0","风险准备金","1","车贷(20%)、房贷(10%)、供应链金融(70%)","上海梵旗实业有限公司","0","","","","1","","","","","","","0","","","0","徐梵","31","上海","3109","虹口","推广期免费(推广期免费)","","1个月","2","上海市虹口区花园路16号1514室","2011-01-01","1","借记卡网付","2","民营系","民营系","2","","0.0","分分贷","2","http://www.fenfendai.com","1","2012-12-31","沪ICP备14048585号","","6000.0","","0","0.0","0","小贷公司、融资性担保公司、平台垫付、实物资产","1,2,4,01","实物资产","","","","1月标(60.0%)、4-6月标(10.0%)","6,2,3,4,5","2.5","0.2％(0.2％)","","","","0","","","推广期免费(推广期免费)","0","推广期免费(推广期免费)","2287"
